fi  fM  MHVR(fi-2)  MHVR(fi-1)  MHVR(fi)  MHVR(fi+1)  MHVR(fi+2)
0.3  8.969039  1.171602  1.171602  1.171602  1.178551  1.185649
0.306398  8.969039  1.171602  1.171602  1.178551  1.185649  1.192898
0.312933  8.969039  1.171602  1.178551  1.185649  1.192898  1.200301
0.319608  8.969039  1.178551  1.185649  1.192898  1.200301  1.207863
0.326424  8.969039  1.185649  1.192898  1.200301  1.207863  1.215585
0.333387  8.969039  1.192898  1.200301  1.207863  1.215585  1.222861
0.340497  8.969039  1.200301  1.207863  1.215585  1.222861  1.230158
0.347759  8.969039  1.207863  1.215585  1.222861  1.230158  1.237609
0.355177  8.969039  1.215585  1.222861  1.230158  1.237609  1.245219
0.362752  8.969039  1.222861  1.230158  1.237609  1.245219  1.252991
0.370489  8.969039  1.230158  1.237609  1.245219  1.252991  1.260929
0.378391  8.969039  1.237609  1.245219  1.252991  1.260929  1.267518
0.386461  8.969039  1.245219  1.252991  1.260929  1.267518  1.272682
0.394704  8.969039  1.252991  1.260929  1.267518  1.272682  1.277957
0.403122  8.969039  1.260929  1.267518  1.272682  1.277957  1.283344
0.41172  8.969039  1.267518  1.272682  1.277957  1.283344  1.288847
0.420501  8.969039  1.272682  1.277957  1.283344  1.288847  1.294466
0.42947  8.969039  1.277957  1.283344  1.288847  1.294466  1.29813
0.43863  8.969039  1.283344  1.288847  1.294466  1.29813  1.301654
0.447985  8.969039  1.288847  1.294466  1.29813  1.301654  1.305253
0.45754  8.969039  1.294466  1.29813  1.301654  1.305253  1.30893
0.467298  8.969039  1.29813  1.301654  1.305253  1.30893  1.312684
0.477265  8.969039  1.301654  1.305253  1.30893  1.312684  1.314759
0.487444  8.969039  1.305253  1.30893  1.312684  1.314759  1.316718
0.49784  8.969039  1.30893  1.312684  1.314759  1.316718  1.318718
0.508458  8.969039  1.312684  1.314759  1.316718  1.318718  1.32076
0.519303  8.969039  1.314759  1.316718  1.318718  1.32076  1.32247
0.530379  8.969039  1.316718  1.318718  1.32076  1.32247  1.323654
0.541691  8.969039  1.318718  1.32076  1.32247  1.323654  1.324863
0.553244  8.969039  1.32076  1.32247  1.323654  1.324863  1.326098
0.565044  8.969039  1.32247  1.323654  1.324863  1.326098  1.327717
0.577096  8.969039  1.323654  1.324863  1.326098  1.327717  1.330287
0.589404  8.969039  1.324863  1.326098  1.327717  1.330287  1.332913
0.601975  8.969039  1.326098  1.327717  1.330287  1.332913  1.335594
0.614814  8.969039  1.327717  1.330287  1.332913  1.335594  1.339138
0.627927  8.969039  1.330287  1.332913  1.335594  1.339138  1.343622
0.64132  8.969039  1.332913  1.335594  1.339138  1.343622  1.348203
0.654998  8.969039  1.335594  1.339138  1.343622  1.348203  1.352881
0.668968  8.969039  1.339138  1.343622  1.348203  1.352881  1.357658
0.683236  8.969039  1.343622  1.348203  1.352881  1.357658  1.362538
0.697808  8.969039  1.348203  1.352881  1.357658  1.362538  1.367522
0.712691  8.969039  1.352881  1.357658  1.362538  1.367522  1.372612
0.727892  8.969039  1.357658  1.362538  1.367522  1.372612  1.37781
0.743416  8.969039  1.362538  1.367522  1.372612  1.37781  1.38312
0.759272  8.969039  1.367522  1.372612  1.37781  1.38312  1.386989
0.775466  8.969039  1.372612  1.37781  1.38312  1.386989  1.390098
0.792006  8.969039  1.37781  1.38312  1.386989  1.390098  1.393273
0.808898  8.969039  1.38312  1.386989  1.390098  1.393273  1.387557
0.82615  8.969039  1.386989  1.390098  1.393273  1.387557  1.379075
0.843771  8.969039  1.390098  1.393273  1.387557  1.379075  1.369416
0.861767  8.969039  1.393273  1.387557  1.379075  1.369416  1.345566
0.880147  8.969039  1.387557  1.379075  1.369416  1.345566  1.321208
0.898919  8.969039  1.379075  1.369416  1.345566  1.321208  1.297987
0.918091  8.969039  1.369416  1.345566  1.321208  1.297987  1.275902
0.937673  8.969039  1.345566  1.321208  1.297987  1.275902  1.25432
0.957672  8.969039  1.321208  1.297987  1.275902  1.25432  1.244837
0.978097  8.969039  1.297987  1.275902  1.25432  1.244837  1.235153
0.998958  8.969039  1.275902  1.25432  1.244837  1.235153  1.234042
1.020264  8.969039  1.25432  1.244837  1.235153  1.234042  1.235403
1.042025  8.969039  1.244837  1.235153  1.234042  1.235403  1.240492
1.06425  8.969039  1.235153  1.234042  1.235403  1.240492  1.248535
1.086948  8.969039  1.234042  1.235403  1.240492  1.248535  1.261823
1.110131  8.969039  1.235403  1.240492  1.248535  1.261823  1.281563
1.133808  8.969039  1.240492  1.248535  1.261823  1.281563  1.303034
1.15799  8.969039  1.248535  1.261823  1.281563  1.303034  1.326714
1.182688  8.969039  1.261823  1.281563  1.303034  1.326714  1.339259
1.207913  8.969039  1.281563  1.303034  1.326714  1.339259  1.339796
1.233676  8.969039  1.303034  1.326714  1.339259  1.339796  1.328759
1.259988  8.969039  1.326714  1.339259  1.339796  1.328759  1.310461
1.286862  8.969039  1.339259  1.339796  1.328759  1.310461  1.286144
1.314308  8.969039  1.339796  1.328759  1.310461  1.286144  1.260921
1.34234  8.969039  1.328759  1.310461  1.286144  1.260921  1.238245
1.37097  8.969039  1.310461  1.286144  1.260921  1.238245  1.224851
1.40021  8.969039  1.286144  1.260921  1.238245  1.224851  1.222361
1.430075  8.969039  1.260921  1.238245  1.224851  1.222361  1.250909
1.460576  8.969039  1.238245  1.224851  1.222361  1.250909  1.297068
1.491727  8.969039  1.224851  1.222361  1.250909  1.297068  1.372213
1.523543  8.969039  1.222361  1.250909  1.297068  1.372213  1.453232
1.556038  8.969039  1.250909  1.297068  1.372213  1.453232  1.526295
1.589226  8.969039  1.297068  1.372213  1.453232  1.526295  1.581401
1.623121  8.969039  1.372213  1.453232  1.526295  1.581401  1.597833
1.657739  8.969039  1.453232  1.526295  1.581401  1.597833  1.59369
1.693096  8.969039  1.526295  1.581401  1.597833  1.59369  1.572398
1.729207  8.969039  1.581401  1.597833  1.59369  1.572398  1.541648
1.766088  8.969039  1.597833  1.59369  1.572398  1.541648  1.513314
1.803756  8.969039  1.59369  1.572398  1.541648  1.513314  1.491012
1.842227  8.969039  1.572398  1.541648  1.513314  1.491012  1.471716
1.881518  8.969039  1.541648  1.513314  1.491012  1.471716  1.453264
1.921648  8.969039  1.513314  1.491012  1.471716  1.453264  1.438916
1.962634  8.969039  1.491012  1.471716  1.453264  1.438916  1.454621
2.004493  8.969039  1.471716  1.453264  1.438916  1.454621  1.520345
2.047246  8.969039  1.453264  1.438916  1.454621  1.520345  1.628203
2.09091  8.969039  1.438916  1.454621  1.520345  1.628203  1.737222
2.135506  8.969039  1.454621  1.520345  1.628203  1.737222  1.806443
2.181052  8.969039  1.520345  1.628203  1.737222  1.806443  1.821846
2.227571  8.969039  1.628203  1.737222  1.806443  1.821846  1.79565
2.275081  8.969039  1.737222  1.806443  1.821846  1.79565  1.740314
2.323604  8.969039  1.806443  1.821846  1.79565  1.740314  1.660778
2.373163  8.969039  1.821846  1.79565  1.740314  1.660778  1.595119
2.423779  8.969039  1.79565  1.740314  1.660778  1.595119  1.588591
2.475474  8.969039  1.740314  1.660778  1.595119  1.588591  1.655352
2.528271  8.969039  1.660778  1.595119  1.588591  1.655352  1.793933
2.582195  8.969039  1.595119  1.588591  1.655352  1.793933  1.992598
2.637269  8.969039  1.588591  1.655352  1.793933  1.992598  2.221249
2.693517  8.969039  1.655352  1.793933  1.992598  2.221249  2.463993
2.750966  8.969039  1.793933  1.992598  2.221249  2.463993  2.695224
2.809639  8.969039  1.992598  2.221249  2.463993  2.695224  2.836734
2.869564  8.969039  2.221249  2.463993  2.695224  2.836734  2.802156
2.930767  8.969039  2.463993  2.695224  2.836734  2.802156  2.762459
2.993275  8.969039  2.695224  2.836734  2.802156  2.762459  2.850968
3.057117  8.969039  2.836734  2.802156  2.762459  2.850968  3.085656
3.12232  8.969039  2.802156  2.762459  2.850968  3.085656  3.401278
3.188914  8.969039  2.762459  2.850968  3.085656  3.401278  3.57913
3.256928  8.969039  2.850968  3.085656  3.401278  3.57913  3.53918
3.326393  8.969039  3.085656  3.401278  3.57913  3.53918  3.529514
3.397339  8.969039  3.401278  3.57913  3.53918  3.529514  3.52294
3.469798  8.969039  3.57913  3.53918  3.529514  3.52294  3.486259
3.543803  8.969039  3.53918  3.529514  3.52294  3.486259  3.567989
3.619387  8.969039  3.529514  3.52294  3.486259  3.567989  3.719497
3.696582  8.969039  3.52294  3.486259  3.567989  3.719497  3.836618
3.775424  8.969039  3.486259  3.567989  3.719497  3.836618  3.901335
3.855947  8.969039  3.567989  3.719497  3.836618  3.901335  4.019737
3.938188  8.969039  3.719497  3.836618  3.901335  4.019737  4.18171
