fi,fM,MHVR(fi-2),MHVR(fi-1),MHVR(fi),MHVR(fi+1),MHVR(fi+2),AMR(fi-2),AMR(fi-1),AMR(fi),AMR(fi+1),AMR(fi+2),pSAF
0.3,8.969039,1.171602,1.171602,1.171602,1.1785510000000001,1.185649,1.0517402,1.0757091,1.0901177,1.0829048,1.0689901,1.2771840692925454
0.306398,8.969039,1.171602,1.171602,1.1785510000000001,1.185649,1.192898,1.0498204,1.0743482,1.0879471,1.0807738,1.067819,1.2822011782481673
0.312933,8.969039,1.171602,1.1785510000000001,1.185649,1.192898,1.200301,1.0461493,1.0713738,1.0839078,1.0764564,1.065066,1.2851342497136593
0.319608,8.969039,1.1785510000000001,1.185649,1.192898,1.200301,1.207863,1.042747,1.0685918,1.0801154,1.0724912,1.0625806,1.288467545171976
0.326424,8.969039,1.185649,1.192898,1.200301,1.207863,1.2155850000000001,1.039288,1.0657563,1.0762475,1.0684663,1.0600603,1.2918208949110508
0.333387,8.969039,1.192898,1.200301,1.207863,1.2155850000000001,1.222861,1.0358844,1.0629725,1.0724523,1.0645415,1.0576284,1.2953754605848788
0.340497,8.969039,1.200301,1.207863,1.2155850000000001,1.222861,1.230158,1.0324647,1.0601764,1.0686429,1.0606148,1.0552114,1.2990262245190145
0.34775900000000004,8.969039,1.207863,1.2155850000000001,1.222861,1.230158,1.237609,1.0290542,1.0573988,1.0648462,1.0567354,1.0528438,1.3021588376518487
0.355177,8.969039,1.2155850000000001,1.222861,1.230158,1.237609,1.245219,1.0257468,1.0547175,1.0611463,1.0529988,1.0505888,1.3053775600576403
0.362752,8.969039,1.222861,1.230158,1.237609,1.245219,1.252991,1.0223815,1.051988,1.0573703,1.0492022,1.0482997,1.3086110058766602
0.370489,8.969039,1.230158,1.237609,1.245219,1.252991,1.2609290000000002,1.0189538,1.0492024,1.0535135,1.0453407,1.0459739,1.3118550604734422
0.378391,8.969039,1.237609,1.245219,1.252991,1.2609290000000002,1.267518,1.0157499,1.0466193,1.0499432,1.0418026,1.0439023,1.3155693910052777
0.386461,8.969039,1.245219,1.252991,1.2609290000000002,1.267518,1.2726819999999999,1.0128098,1.0442795,1.0467312,1.0386395,1.0421356,1.3198537676479818
0.394704,8.969039,1.252991,1.2609290000000002,1.267518,1.2726819999999999,1.277957,1.00999,1.0420789,1.0436895,1.0356915,1.040558,1.3228952141804695
0.403122,8.969039,1.2609290000000002,1.267518,1.2726819999999999,1.277957,1.283344,1.0076177,1.0403103,1.0411345,1.0333422,1.0394255,1.3250331080267428
0.41172,8.969039,1.267518,1.2726819999999999,1.277957,1.283344,1.2888469999999999,1.0053306,1.0385761,1.038558,1.0309567,1.0382509,1.3272324740400314
0.420501,8.969039,1.2726819999999999,1.277957,1.283344,1.2888469999999999,1.294466,1.0028424,1.0366493,1.0357157,1.0282797,1.0368675,1.3291795282688141
0.42946999999999996,8.969039,1.277957,1.283344,1.2888469999999999,1.294466,1.29813,1.0007029,1.035039,1.0333203,1.0260857,1.0358493,1.331791778658986
0.43863,8.969039,1.283344,1.2888469999999999,1.294466,1.29813,1.301654,0.99859667,1.0334636,1.030988,1.023951,1.0349002,1.3345788839058874
0.447985,8.969039,1.2888469999999999,1.294466,1.29813,1.301654,1.305253,0.9966719,1.0321007,1.0289001,1.0221483,1.0342176,1.3356461471557617
0.45753999999999995,8.969039,1.294466,1.29813,1.301654,1.305253,1.30893,0.99522567,1.0311804,1.0273145,1.0209374,1.0339615,1.3372080850965977
0.46729799999999994,8.969039,1.29813,1.301654,1.305253,1.30893,1.312684,0.9936571,1.030167,1.0255824,1.0195892,1.0336188,1.3386445470901727
0.47726499999999994,8.969039,1.301654,1.305253,1.30893,1.312684,1.314759,0.9923723,1.0294099,1.024214,1.0186287,1.0335631,1.340624469387531
0.48744399999999993,8.969039,1.305253,1.30893,1.312684,1.314759,1.316718,0.9911094,1.0286758,1.0228871,1.0177082,1.0335565,1.3427275440354347
0.49783999999999995,8.969039,1.30893,1.312684,1.314759,1.316718,1.318718,0.9899967,1.0281165,1.0217588,1.0170615,1.033768,1.3433665712721348
0.508458,8.969039,1.312684,1.314759,1.316718,1.318718,1.32076,0.9892936,1.0279329,1.0210583,1.0169146,1.0343373,1.344445870309353
0.519303,8.969039,1.314759,1.316718,1.318718,1.32076,1.32247,0.9885502,1.0277295,1.0203171,1.0167427,1.034899,1.3455104959869386
0.530379,8.969039,1.316718,1.318718,1.32076,1.32247,1.323654,0.98788667,1.027597,1.0196762,1.0166844,1.0355499,1.3467475491333007
0.541691,8.969039,1.318718,1.32076,1.32247,1.323654,1.324863,0.98724556,1.0274932,1.0190637,1.0166793,1.0362508,1.347681186106205
0.553244,8.969039,1.32076,1.32247,1.323654,1.324863,1.326098,0.9867306,1.0275145,1.0185888,1.0168589,1.0370908,1.3482591147980691
0.565044,8.969039,1.32247,1.323654,1.324863,1.326098,1.327717,0.98623633,1.0275586,1.0181057,1.0170605,1.0379515,1.3488506320559976
0.577096,8.969039,1.323654,1.324863,1.326098,1.327717,1.330287,0.98549914,1.0273867,1.0172997,1.0169551,1.038599,1.3490390340499878
0.589404,8.969039,1.324863,1.326098,1.327717,1.330287,1.332913,0.98469377,1.0271405,1.0163829,1.0167471,1.0391684,1.3494688982064724
